"alpha0","beta0","rho","clus","rr","trt_mod","out_mod","unbal","beta4","true.rd","dgm","prev","rate","correlation","design","true.effect","NCluster","ClusterSize"
-1.499,-0.63,0,"50 clusters of 20 - unbl",1,"random slope","none",0.2,0,0,67,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",1,"random slope","none",0.2,0,0,68,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",1,"random slope","none",0.2,0,0,69,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",1,"random slope","none",0.2,0,0,70,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",1,"random slope","none",0.2,0,0,71,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",1,"random slope","none",0.2,0,0,72,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",1,"random slope","none",0.2,0,0,73,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",1,"random slope","none",0.2,0,0,74,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",1,"random slope","none",0.2,0,0,75,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",1,"random slope","none",0.2,0,0,76,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",1,"random slope","none",0.2,0,0,77,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",1,"random slope","none",0.2,0,0,78,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",1,"random slope","none",0.2,0,0,79,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",1,"random slope","none",0.2,0,0,80,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",0.8,"random slope","none",0.2,-0.3147107448397,-0.02,81,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",0.8,"random slope","none",0.2,-0.3147107448397,-0.02,82,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",0.8,"random slope","none",0.2,-0.41,-0.06,83,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",0.8,"random slope","none",0.2,-0.41,-0.06,84,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"random slope","none",0.2,-0.3147107448397,-0.02,85,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"random slope","none",0.2,-0.3147107448397,-0.02,86,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"random slope","none",0.2,-0.41,-0.06,87,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"random slope","none",0.2,-0.41,-0.06,88,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",0.8,"random slope","none",0.2,-0.3147107448397,-0.02,89,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",0.8,"random slope","none",0.2,-0.3147107448397,-0.02,90,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",0.8,"random slope","none",0.2,-0.41,-0.06,91,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",0.8,"random slope","none",0.2,-0.41,-0.06,92,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"random slope","none",0.2,-0.3147107448397,-0.02,93,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"random slope","none",0.2,-0.3147107448397,-0.02,94,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"random slope","none",0.2,-0.41,-0.06,95,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"random slope","none",0.2,-0.41,-0.06,96,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",1,"none","random intercept",0.2,0,0,97,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",1,"none","random intercept",0.2,0,0,98,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",1,"none","random intercept",0.2,0,0,99,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",1,"none","random intercept",0.2,0,0,100,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",1,"none","random intercept",0.2,0,0,101,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",1,"none","random intercept",0.2,0,0,102,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",1,"none","random intercept",0.2,0,0,103,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",1,"none","random intercept",0.2,0,0,104,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",1,"none","random intercept",0.2,0,0,105,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",1,"none","random intercept",0.2,0,0,106,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",1,"none","random intercept",0.2,0,0,107,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",1,"none","random intercept",0.2,0,0,108,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",1,"none","random intercept",0.2,0,0,109,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",1,"none","random intercept",0.2,0,0,110,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",1,"none","random intercept",0.2,0,0,111,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",1,"none","random intercept",0.2,0,0,112,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
